,status,age_group,education,industry,location,ai_risk,monthly_salary_(inr),date_recorded
34,1,18-24,master,finance,urban,medium,40700.0,2023-02-04
35,1,55-65,bachelor, fintech,urban,low,106900.0,2023-02-05
36,1,18-24,phd,retail,urban,high,93300.0,2023-02-06
37,1,18-24,high_school, fintech,urban,low,73500.0,2023-02-07
38,0,25-34,diploma,health,urban,high,40700.0,2023-02-08
39,0,18-24,high_school,finance,urban,medium,88565.21739130435,2023-02-09
40,1,45-54,high_school,health,urban,low,80530.0,2023-02-10
41,1,25-34,bachelor, fintech,urban,low,40700.0,2023-02-11
42,0,45-54,master,tech ,urban,low,40700.0,2023-02-12
43,1,25-34,phd,retail,urban,medium,40700.0,2023-02-13
44,1,25-34,high_school,health,urban,medium,97900.0,2023-02-14
45,0,18-24,phd, fintech,rural,medium,40700.0,2023-02-15
46,0,25-34,phd,retail,suburban,high,106500.0,2023-02-16
47,1,25-34,diploma,education,urban,low,40700.0,2023-02-17
48,1,55-65,master,retail,urban,high,112400.0,2023-02-18
49,0,18-24,phd,retail,urban,high,40700.0,2023-02-19
50,1,35-44,bachelor,finance,urban,high,112400.0,2023-02-20
51,1,18-24,high_school,retail,urban,low,40700.0,2023-02-21
52,1,45-54,bachelor,tech,urban,low,112400.0,2023-02-22
53,1,18-24,phd,finance,urban,high,40700.0,2023-02-23
54,0,45-54,master,health,urban,medium,42100.0,2023-02-24
55,1,25-34,master,education,urban,medium,112400.0,2023-02-25
56,1,25-34,high_school,health,urban,low,80530.0,2023-02-26
57,0,18-24,high_school,retail,suburban,high,83000.0,2023-02-27
58,0,18-24,master,health,urban,low,112400.0,2023-02-28
59,1,25-34,phd,finance,suburban,high,76000.0,2023-03-01
60,0,55-65,diploma,retail,suburban,medium,40700.0,2023-03-02
61,0,25-34,master,education,urban,low,78900.0,2023-03-03
62,0,18-24,diploma, fintech,urban,high,51000.0,2023-03-04
63,1,18-24,phd,tech,urban,medium,48900.0,2023-03-05
64,1,45-54,diploma,retail,urban,medium,112400.0,2023-03-06
65,0,18-24,master,tech,rural,medium,63500.0,2023-03-07
66,0,18-24,phd,retail,urban,medium,78222.78481012658,2023-03-08
67,0,45-54,bachelor,finance,suburban,medium,57200.0,2023-03-09
68,1,45-54,diploma,health,urban,high,84000.0,2023-03-10
69,1,25-34,bachelor,retail,rural,low,63700.0,2023-03-11
70,0,25-34,phd,retail,urban,low,90500.0,2023-03-12
71,1,35-44,high_school,retail,urban,medium,40700.0,2023-03-13
72,1,25-34,phd, fintech,urban,low,75478.94736842105,2023-03-14
73,0,45-54,diploma, fintech,rural,high,112400.0,2023-03-15
74,0,18-24,high_school,retail,urban,medium,90000.0,2023-03-16
75,0,25-34,high_school,retail,urban,high,112400.0,2023-03-17
76,0,18-24,master,finance,suburban,low,112400.0,2023-03-18
77,1,25-34,bachelor,tech,urban,medium,74665.11627906977,2023-03-19
78,0,35-44,high_school,education,urban,high,100200.0,2023-03-20
79,0,18-24,master,tech ,suburban,low,112400.0,2023-03-21
80,1,25-34,bachelor,education,urban,low,40700.0,2023-03-22
81,1,25-34,bachelor,health,urban,high,79100.0,2023-03-23
82,0,18-24,master,tech ,rural,low,90600.0,2023-03-24
83,1,18-24,high_school,health,suburban,medium,46100.0,2023-03-25
84,1,25-34,diploma,finance,urban,high,112400.0,2023-03-26
85,1,55-65,bachelor,tech ,urban,medium,112400.0,2023-03-27
86,0,55-65,bachelor,retail,urban,low,56300.0,2023-03-28
87,0,25-34,phd,retail,suburban,high,105400.0,2023-03-29
88,1,55-65,bachelor, fintech,urban,high,112400.0,2023-03-30
89,1,35-44,bachelor, fintech,urban,low,88400.0,2023-03-31
90,1,45-54,diploma,finance,urban,high,112400.0,2023-04-01
91,1,35-44,bachelor, fintech,urban,medium,40700.0,2023-04-02
92,1,35-44,master,retail,urban,high,66200.0,2023-04-03
93,1,18-24,phd,education,urban,high,81600.0,2023-04-04
94,1,25-34,high_school,health,urban,low,80530.0,2023-04-05
95,0,25-34,phd, fintech,urban,low,75478.94736842105,2023-04-06
96,1,25-34,diploma,health,urban,medium,75376.19047619047,2023-04-07
97,1,25-34,phd,retail,urban,high,40700.0,2023-04-08
98,0,25-34,diploma,retail,urban,high,112400.0,2023-04-09
99,1,45-54,phd,health,urban,low,112400.0,2023-04-10
100,1,18-24,phd,tech ,urban,high,50600.0,2023-04-11
101,1,45-54,bachelor,tech,urban,medium,76500.0,2023-04-12
102,0,25-34,high_school,retail,urban,medium,73565.5172413793,2023-04-13
103,1,18-24,diploma,health,rural,medium,44200.0,2023-04-14
104,1,45-54,bachelor,retail,urban,high,112400.0,2023-04-15
105,1,18-24,master,health,urban,high,72056.45161290323,2023-04-16
106,0,25-34,bachelor,health,urban,low,73800.0,2023-04-17
107,1,25-34,master,retail,urban,low,78984.21052631579,2023-04-18
108,1,18-24,diploma,tech ,urban,high,40700.0,2023-04-19
109,1,18-24,master,health,urban,medium,40700.0,2023-04-20
110,1,25-34,bachelor,education,urban,high,68500.0,2023-04-21
111,0,35-44,phd,finance,urban,low,44700.0,2023-04-22
112,0,18-24,phd,health,urban,high,40700.0,2023-04-23
113,1,25-34,bachelor,retail,urban,medium,112400.0,2023-04-24
114,1,25-34,master,education,suburban,low,40700.0,2023-04-25
115,0,45-54,high_school,finance,urban,low,109500.0,2023-04-26
116,1,25-34,phd,retail,urban,low,40700.0,2023-04-27
117,1,35-44,high_school,tech,rural,low,40700.0,2023-04-28
118,1,25-34,bachelor,finance,urban,medium,40700.0,2023-04-29
119,1,18-24,phd,retail,urban,high,40700.0,2023-04-30
120,1,18-24,master,health,suburban,medium,81216.66666666667,2023-05-01
121,1,45-54,phd,tech ,urban,high,40700.0,2023-05-02
122,1,45-54,high_school,health,urban,high,112400.0,2023-05-03
123,1,18-24,high_school,tech,urban,medium,43400.0,2023-05-04
124,1,45-54,bachelor,finance,urban,medium,79000.0,2023-05-05
125,1,25-34,diploma,education,urban,high,112400.0,2023-05-06
126,0,25-34,phd,tech ,urban,medium,40700.0,2023-05-07
127,0,55-65,phd,tech,urban,medium,80500.0,2023-05-08
128,1,18-24,high_school,health,urban,low,80530.0,2023-05-09
129,0,35-44,high_school,retail,urban,medium,40700.0,2023-05-10
130,0,18-24,bachelor,education,urban,high,54800.0,2023-05-11
131,1,35-44,bachelor, fintech,urban,medium,112400.0,2023-05-12
132,0,18-24,master, fintech,urban,low,76375.0,2023-05-13
133,1,45-54,high_school,retail,urban,high,110800.0,2023-05-14
134,1,25-34,master,finance,suburban,high,67000.0,2023-05-15
135,1,25-34,high_school,finance,urban,high,109800.0,2023-05-16
136,1,45-54,phd,health,urban,low,83369.76744186046,2023-05-17
137,1,18-24,bachelor,retail,urban,high,74708.33333333333,2023-05-18
138,0,35-44,master,retail,urban,medium,65300.0,2023-05-19
139,1,35-44,high_school,tech,urban,low,76500.0,2023-05-20
140,1,25-34,bachelor,tech,urban,low,112400.0,2023-05-21
141,1,18-24,diploma,health,urban,high,40700.0,2023-05-22
142,0,25-34,bachelor,health,urban,high,52800.0,2023-05-23
143,1,25-34,bachelor,education,suburban,high,96300.0,2023-05-24
144,1,18-24,bachelor,retail,urban,high,103700.0,2023-05-25
145,1,25-34,bachelor,education,rural,low,100700.0,2023-05-26
146,0,18-24,master, fintech,urban,high,112400.0,2023-05-27
147,0,25-34,high_school, fintech,urban,medium,83093.75,2023-05-28
148,1,25-34,bachelor,health,rural,high,40700.0,2023-05-29
149,1,18-24,phd,health,urban,medium,83369.76744186046,2023-05-30
150,0,18-24,bachelor,tech ,urban,medium,89900.0,2023-05-31
151,1,18-24,master,retail,urban,low,65200.0,2023-06-01
152,1,18-24,high_school,health,urban,high,80530.0,2023-06-02
153,1,25-34,diploma,retail,urban,high,97100.0,2023-06-03
154,1,18-24,high_school,education,urban,high,40700.0,2023-06-04
155,1,18-24,master,retail,suburban,high,102600.0,2023-06-05
156,0,55-65,master,retail,urban,high,112400.0,2023-06-06
157,0,25-34,bachelor, fintech,urban,high,112400.0,2023-06-07
158,1,55-65,master,education,rural,medium,70733.33333333333,2023-06-08
159,1,25-34,bachelor,education,urban,high,40700.0,2023-06-09
160,0,45-54,bachelor,health,urban,medium,50000.0,2023-06-10
161,1,55-65,bachelor,health,urban,high,81200.0,2023-06-11
162,1,55-65,master,retail,urban,high,112400.0,2023-06-12
163,1,35-44,diploma,retail,urban,high,106600.0,2023-06-13
164,1,18-24,master,health,urban,medium,44700.0,2023-06-14
165,1,25-34,diploma,education,urban,medium,40700.0,2023-06-15
166,0,18-24,bachelor,health,urban,high,112400.0,2023-06-16
167,1,18-24,phd,education,suburban,medium,112400.0,2023-06-17
168,1,25-34,phd,retail,urban,low,75300.0,2023-06-18
169,0,55-65,diploma,tech,urban,high,53300.0,2023-06-19
170,0,18-24,bachelor,health,urban,low,88400.0,2023-06-20
171,0,55-65,master,education,urban,low,110800.0,2023-06-21
172,0,55-65,bachelor,education,urban,low,112400.0,2023-06-22
173,1,25-34,bachelor,education,urban,high,40700.0,2023-06-23
174,1,55-65,high_school,retail,urban,high,41000.0,2023-06-24
175,0,35-44,phd,retail,urban,high,40700.0,2023-06-25
176,0,18-24,master,tech ,urban,low,80100.0,2023-06-26
177,0,25-34,high_school,retail,urban,high,73565.5172413793,2023-06-27
178,0,45-54,bachelor,retail,urban,high,40700.0,2023-06-28
179,0,18-24,high_school,tech,urban,low,40700.0,2023-06-29
180,0,45-54,phd,retail,suburban,high,70700.0,2023-06-30
181,0,18-24,high_school,retail,suburban,low,96000.0,2023-07-01
182,1,18-24,master,health,suburban,low,112400.0,2023-07-02
183,1,25-34,master,retail,suburban,high,84861.53846153847,2023-07-03
184,0,35-44,phd,health,urban,medium,54200.0,2023-07-04
185,0,55-65,master,health,suburban,medium,40700.0,2023-07-05
186,0,55-65,bachelor,health,rural,high,65100.0,2023-07-06
187,1,25-34,master,retail,suburban,high,85900.0,2023-07-07
188,1,18-24,bachelor,health,suburban,high,67000.0,2023-07-08
189,0,55-65,bachelor,finance,urban,medium,112400.0,2023-07-09
190,1,25-34,high_school,education,urban,medium,40700.0,2023-07-10
191,0,18-24,bachelor,tech,urban,low,112400.0,2023-07-11
192,0,18-24,high_school,retail,rural,high,112400.0,2023-07-12
193,0,18-24,bachelor,health,urban,low,60500.0,2023-07-13
194,1,18-24,high_school,tech ,urban,low,58000.0,2023-07-14
195,1,18-24,diploma,finance,urban,medium,112400.0,2023-07-15
196,1,18-24,high_school,tech ,urban,high,77200.0,2023-07-16
197,1,45-54,bachelor,finance,urban,high,96400.0,2023-07-17
198,1,25-34,bachelor,tech,suburban,medium,67533.33333333333,2023-07-18
199,0,18-24,master,retail,urban,high,78984.21052631579,2023-07-19
200,1,55-65,diploma,education,urban,low,112400.0,2023-07-20
201,1,45-54,bachelor,retail,urban,medium,74708.33333333333,2023-07-21
202,1,18-24,bachelor,education,urban,medium,66400.0,2023-07-22
203,1,25-34,diploma, fintech,urban,medium,40700.0,2023-07-23
204,0,35-44,bachelor,health,urban,medium,112400.0,2023-07-24
205,1,18-24,bachelor,retail,urban,medium,82700.0,2023-07-25
206,1,55-65,bachelor,retail,urban,high,74708.33333333333,2023-07-26
207,0,35-44,bachelor,retail,rural,high,102300.0,2023-07-27
208,1,25-34,phd,health,urban,high,112400.0,2023-07-28
209,1,18-24,phd,education,urban,low,64500.0,2023-07-29
210,0,25-34,diploma,retail,urban,low,75200.0,2023-07-30
211,0,45-54,bachelor,health,rural,medium,74200.0,2023-07-31
212,0,55-65,master,tech ,suburban,medium,112400.0,2023-08-01
213,1,25-34,high_school,education,rural,high,68600.0,2023-08-02
214,1,25-34,diploma,health,urban,high,75376.19047619047,2023-08-03
215,1,25-34,phd,tech,urban,high,40700.0,2023-08-04
216,1,35-44,bachelor,health,urban,low,76000.0,2023-08-05
217,1,18-24,phd,education,urban,high,73952.17391304347,2023-08-06
218,1,55-65,phd,education,urban,high,40700.0,2023-08-07
219,0,25-34,bachelor,health,rural,low,112400.0,2023-08-08
220,0,55-65,phd,finance,urban,high,70058.62068965517,2023-08-09
221,1,35-44,diploma,tech ,urban,low,40700.0,2023-08-10
222,1,45-54,bachelor,retail,urban,high,45500.0,2023-08-11
223,1,18-24,bachelor,retail,urban,medium,40700.0,2023-08-12
224,1,18-24,bachelor,tech,urban,high,40700.0,2023-08-13
225,0,45-54,high_school,health,urban,high,80530.0,2023-08-14
226,1,25-34,master,tech,urban,high,83238.09523809524,2023-08-15
227,0,18-24,bachelor,retail,urban,high,107400.0,2023-08-16
228,0,18-24,bachelor,tech,urban,low,83800.0,2023-08-17
229,0,18-24,high_school,retail,urban,high,70400.0,2023-08-18
230,1,25-34,phd,tech ,urban,low,105700.0,2023-08-19
231,0,35-44,diploma,retail,urban,medium,40700.0,2023-08-20
232,1,25-34,high_school,education,urban,medium,72039.13043478261,2023-08-21
233,0,45-54,bachelor,health,urban,high,82858.97435897436,2023-08-22
234,0,18-24,bachelor,finance,urban,high,40700.0,2023-08-23
235,0,18-24,master,retail,urban,medium,40700.0,2023-08-24
236,1,18-24,master,finance,urban,high,81670.58823529411,2023-08-25
237,1,45-54,bachelor,education,urban,low,40700.0,2023-08-26
238,0,18-24,phd,tech ,urban,low,40700.0,2023-08-27
239,0,45-54,phd,finance,urban,low,96600.0,2023-08-28
240,1,45-54,phd,tech ,urban,high,112400.0,2023-08-29
241,1,18-24,master,health,urban,high,40700.0,2023-08-30
242,0,18-24,bachelor,education,urban,high,40700.0,2023-08-31
243,1,18-24,diploma,retail,urban,high,77600.0,2023-09-01
244,1,18-24,master,retail,urban,high,40700.0,2023-09-02
245,1,18-24,bachelor,health,urban,low,92500.0,2023-09-03
246,0,25-34,master,health,rural,high,106800.0,2023-09-04
247,0,18-24,bachelor,tech ,urban,medium,79900.0,2023-09-05
248,1,25-34,bachelor, fintech,urban,medium,112400.0,2023-09-06
249,0,25-34,bachelor, fintech,urban,high,74234.88372093023,2023-09-07
250,0,25-34,master,tech ,urban,medium,102200.0,2023-09-08
251,1,45-54,bachelor,retail,urban,high,82300.0,2023-09-09
252,1,25-34,phd,health,urban,low,102800.0,2023-09-10
253,1,18-24,bachelor,education,suburban,high,84100.0,2023-09-11
254,1,18-24,master,health,urban,low,68500.0,2023-09-12
255,0,18-24,high_school, fintech,urban,medium,83093.75,2023-09-13
256,1,18-24,bachelor,tech ,suburban,medium,112400.0,2023-09-14
257,1,18-24,high_school,retail,urban,medium,112400.0,2023-09-15
258,1,18-24,master,tech ,urban,low,40700.0,2023-09-16
259,1,25-34,phd,retail,urban,high,112400.0,2023-09-17
260,1,18-24,phd,health,rural,high,112400.0,2023-09-18
261,1,18-24,bachelor,finance,urban,medium,40700.0,2023-09-19
262,1,35-44,diploma,health,urban,medium,40700.0,2023-09-20
263,0,35-44,master,finance,urban,high,104000.0,2023-09-21
264,1,45-54,high_school,education,urban,high,66200.0,2023-09-22
265,0,18-24,diploma, fintech,urban,medium,106700.0,2023-09-23
266,0,55-65,bachelor, fintech,urban,medium,88000.0,2023-09-24
267,1,25-34,bachelor,tech ,urban,high,103000.0,2023-09-25
268,1,18-24,phd,retail,suburban,high,112400.0,2023-09-26
269,1,25-34,phd,retail,suburban,low,40700.0,2023-09-27
270,1,45-54,phd,health,rural,medium,44300.0,2023-09-28
271,1,18-24,phd,tech ,urban,low,104400.0,2023-09-29
272,0,45-54,phd,retail,urban,high,78222.78481012658,2023-09-30
273,1,18-24,diploma,retail,urban,high,112400.0,2023-10-01
274,1,25-34,bachelor,retail,urban,high,66100.0,2023-10-02
275,1,18-24,bachelor,finance,urban,low,112400.0,2023-10-03
276,0,18-24,high_school,retail,urban,low,112400.0,2023-10-04
277,1,18-24,phd,retail,urban,low,88300.0,2023-10-05
278,1,18-24,bachelor,retail,rural,high,40700.0,2023-10-06
279,1,25-34,high_school,retail,urban,low,112400.0,2023-10-07
280,1,45-54,bachelor,tech ,suburban,low,40700.0,2023-10-08
281,0,18-24,master,tech ,urban,medium,40700.0,2023-10-09
282,0,18-24,bachelor,health,urban,low,82858.97435897436,2023-10-10
283,0,25-34,high_school, fintech,urban,high,83093.75,2023-10-11
284,1,18-24,bachelor, fintech,urban,high,78200.0,2023-10-12
285,0,45-54,diploma,tech ,urban,high,112400.0,2023-10-13
286,0,18-24,bachelor,education,urban,medium,64847.619047619046,2023-10-14
287,1,35-44,phd,retail,suburban,low,87471.42857142857,2023-10-15
288,1,55-65,phd, fintech,suburban,medium,109300.0,2023-10-16
289,0,25-34,diploma,retail,urban,high,57800.0,2023-10-17
290,1,25-34,master,retail,urban,high,78984.21052631579,2023-10-18
291,1,18-24,bachelor,health,urban,high,112400.0,2023-10-19
292,1,25-34,bachelor,retail,urban,high,40700.0,2023-10-20
293,0,18-24,high_school, fintech,urban,low,40700.0,2023-10-21
294,1,25-34,diploma,retail,urban,high,71800.0,2023-10-22
295,0,25-34,phd,tech,urban,low,80500.0,2023-10-23
296,1,25-34,phd,tech ,urban,medium,101500.0,2023-10-24
297,1,25-34,master,health,urban,high,40700.0,2023-10-25
298,1,18-24,bachelor,health,suburban,low,78300.0,2023-10-26
299,0,18-24,master,retail,urban,high,98200.0,2023-10-27
300,1,45-54,bachelor,education,suburban,high,105000.0,2023-10-28
301,0,25-34,phd,health,urban,high,112400.0,2023-10-29
302,1,35-44,bachelor, fintech,suburban,high,112400.0,2023-10-30
303,1,55-65,bachelor,retail,urban,medium,40700.0,2023-10-31
304,1,45-54,high_school,health,urban,high,83800.0,2023-11-01
305,0,18-24,phd,retail,urban,medium,112400.0,2023-11-02
306,1,18-24,high_school,retail,rural,low,102800.0,2023-11-03
307,1,45-54,phd,finance,urban,high,89300.0,2023-11-04
308,0,25-34,master,health,urban,low,61200.0,2023-11-05
309,0,18-24,bachelor,tech,urban,high,108300.0,2023-11-06
310,0,25-34,high_school,retail,urban,high,112400.0,2023-11-07
311,1,18-24,phd,retail,urban,high,112400.0,2023-11-08
312,1,25-34,high_school,retail,rural,medium,40700.0,2023-11-09
313,0,35-44,bachelor,tech,urban,low,112400.0,2023-11-10
314,0,55-65,phd, fintech,urban,low,62300.0,2023-11-11
315,1,18-24,high_school,health,urban,high,88500.0,2023-11-12
316,0,18-24,high_school,education,urban,low,72039.13043478261,2023-11-13
317,0,25-34,phd, fintech,urban,low,112400.0,2023-11-14
318,0,18-24,master,finance,urban,low,112400.0,2023-11-15
319,1,25-34,phd,education,urban,low,112400.0,2023-11-16
320,0,55-65,master,tech ,urban,high,67909.09090909091,2023-11-17
321,1,45-54,phd, fintech,suburban,medium,89600.0,2023-11-18
322,0,35-44,master,education,suburban,medium,42700.0,2023-11-19
323,1,25-34,bachelor,education,urban,low,64847.619047619046,2023-11-20
324,1,55-65,master, fintech,rural,medium,40700.0,2023-11-21
325,0,18-24,high_school,health,urban,medium,40700.0,2023-11-22
326,1,45-54,bachelor,retail,urban,medium,40700.0,2023-11-23
327,1,35-44,bachelor, fintech,urban,high,61500.0,2023-11-24
328,1,35-44,master,retail,suburban,medium,56800.0,2023-11-25
329,1,35-44,phd,health,suburban,high,40700.0,2023-11-26
330,0,55-65,diploma,retail,urban,medium,96600.0,2023-11-27
331,0,55-65,diploma,tech ,urban,high,68440.0,2023-11-28
332,0,25-34,phd,health,urban,high,96100.0,2023-11-29
333,1,35-44,diploma,retail,rural,high,74412.5,2023-11-30
334,1,18-24,bachelor,finance,urban,high,72400.0,2023-12-01
335,0,55-65,phd,retail,urban,medium,112400.0,2023-12-02
336,1,35-44,master,health,urban,high,40700.0,2023-12-03
337,1,18-24,bachelor,retail,suburban,high,85446.15384615384,2023-12-04
338,0,18-24,bachelor,retail,urban,high,40700.0,2023-12-05
339,1,25-34,diploma,tech,urban,high,112400.0,2023-12-06
340,0,35-44,bachelor,health,urban,low,40700.0,2023-12-07
341,0,35-44,high_school,finance,urban,medium,112400.0,2023-12-08
342,1,18-24,phd,health,urban,medium,83369.76744186046,2023-12-09
343,1,25-34,master,retail,urban,medium,92700.0,2023-12-10
344,0,25-34,phd,retail,urban,medium,78222.78481012658,2023-12-11
345,0,25-34,master, fintech,urban,high,112400.0,2023-12-12
346,1,55-65,phd,retail,urban,high,40700.0,2023-12-13
347,0,18-24,master,tech ,urban,low,67909.09090909091,2023-12-14
348,1,25-34,bachelor,retail,urban,high,40700.0,2023-12-15
349,0,55-65,high_school,finance,urban,low,81100.0,2023-12-16
350,0,55-65,bachelor,education,urban,medium,64847.619047619046,2023-12-17
351,0,45-54,bachelor,retail,urban,high,112400.0,2023-12-18
352,0,45-54,bachelor, fintech,suburban,low,112400.0,2023-12-19
353,1,55-65,master,retail,urban,medium,109900.0,2023-12-20
354,1,18-24,high_school,finance,suburban,medium,112400.0,2023-12-21
355,1,18-24,bachelor,retail,suburban,medium,108300.0,2023-12-22
356,1,18-24,phd,education,urban,high,71400.0,2023-12-23
357,0,18-24,bachelor,education,urban,medium,40700.0,2023-12-24
358,0,18-24,master,education,suburban,low,51000.0,2023-12-25
359,0,25-34,high_school,finance,urban,high,109800.0,2023-12-26
360,0,18-24,master,finance,urban,high,111300.0,2023-12-27
361,1,18-24,master,education,urban,medium,92900.0,2023-12-28
362,1,55-65,bachelor,tech,urban,high,40700.0,2023-12-29
363,1,35-44,bachelor,education,suburban,low,100400.0,2023-12-30
364,1,45-54,phd,finance,suburban,high,76000.0,2023-12-31
365,1,25-34,bachelor,retail,urban,low,112400.0,2024-01-01
366,0,25-34,high_school,health,urban,medium,80530.0,2024-01-02
367,1,18-24,bachelor,health,urban,medium,40700.0,2024-01-03
368,1,55-65,bachelor,health,urban,medium,104800.0,2024-01-04
369,0,35-44,master,retail,urban,low,95700.0,2024-01-05
370,1,18-24,high_school,finance,urban,high,40700.0,2024-01-06
371,1,18-24,high_school,retail,urban,high,73565.5172413793,2024-01-07
372,0,45-54,phd,education,suburban,high,80233.33333333333,2024-01-08
373,0,45-54,diploma,health,urban,high,112400.0,2024-01-09
374,0,45-54,master,education,rural,medium,40700.0,2024-01-10
375,0,18-24,high_school,retail,urban,high,40700.0,2024-01-11
376,1,55-65,phd,retail,urban,low,40700.0,2024-01-12
377,0,25-34,master,education,urban,medium,40700.0,2024-01-13
378,0,18-24,master,health,urban,medium,52900.0,2024-01-14
379,0,35-44,master,retail,urban,low,112400.0,2024-01-15
380,0,45-54,high_school,retail,rural,high,90300.0,2024-01-16
381,1,25-34,bachelor,finance,urban,high,112400.0,2024-01-17
382,1,35-44,bachelor,tech,urban,high,63200.0,2024-01-18
383,0,18-24,phd,tech ,urban,medium,94400.0,2024-01-19
384,0,35-44,phd,tech,urban,low,40700.0,2024-01-20
385,1,25-34,master,finance,rural,high,61200.0,2024-01-21
386,1,35-44,bachelor,health,rural,high,112400.0,2024-01-22
387,1,18-24,high_school,tech,urban,medium,97300.0,2024-01-23
388,0,18-24,high_school,health,urban,medium,64300.0,2024-01-24
389,1,25-34,bachelor,retail,urban,medium,59100.0,2024-01-25
390,0,18-24,master,retail,suburban,high,92700.0,2024-01-26
391,0,25-34,master,retail,urban,medium,64900.0,2024-01-27
392,0,18-24,master,tech ,urban,high,45800.0,2024-01-28
393,1,25-34,master,retail,urban,high,112400.0,2024-01-29
394,1,35-44,bachelor,tech ,urban,high,112400.0,2024-01-30
395,0,25-34,bachelor,education,urban,low,106500.0,2024-01-31
396,0,55-65,master,retail,urban,high,112400.0,2024-02-01
397,1,18-24,master,retail,urban,low,78984.21052631579,2024-02-02
398,1,18-24,master,education,urban,medium,83918.75,2024-02-03
399,1,45-54,bachelor,education,urban,low,86300.0,2024-02-04
400,0,35-44,phd,retail,suburban,medium,40700.0,2024-02-05
401,0,25-34,bachelor,retail,urban,medium,71000.0,2024-02-06
402,0,18-24,bachelor,health,urban,low,82858.97435897436,2024-02-07
403,1,18-24,master,health,urban,medium,112400.0,2024-02-08
404,1,18-24,phd,education,urban,high,42600.0,2024-02-09
405,1,18-24,bachelor,tech,urban,high,86700.0,2024-02-10
406,0,18-24,bachelor,education,urban,high,64847.619047619046,2024-02-11
407,1,25-34,master,retail,rural,medium,40700.0,2024-02-12
408,0,18-24,diploma,retail,rural,low,100400.0,2024-02-13
409,1,45-54,master,tech,urban,high,83238.09523809524,2024-02-14
410,1,45-54,phd,retail,rural,high,111300.0,2024-02-15
411,1,45-54,high_school, fintech,rural,high,67400.0,2024-02-16
412,1,18-24,master,finance,urban,high,100900.0,2024-02-17
413,1,25-34,bachelor,education,urban,high,40700.0,2024-02-18
414,0,18-24,phd,retail,suburban,high,46300.0,2024-02-19
415,1,25-34,phd,tech ,suburban,medium,65366.666666666664,2024-02-20
416,0,25-34,phd,tech ,urban,medium,74262.85714285714,2024-02-21
417,1,18-24,master,tech ,rural,low,112400.0,2024-02-22
418,0,45-54,phd,retail,urban,low,78222.78481012658,2024-02-23
419,0,18-24,high_school,health,suburban,medium,40700.0,2024-02-24
420,1,35-44,high_school,education,urban,high,112400.0,2024-02-25
421,1,35-44,high_school,finance,urban,low,40700.0,2024-02-26
422,1,45-54,bachelor,education,urban,high,112400.0,2024-02-27
423,0,18-24,master,tech ,urban,high,109300.0,2024-02-28
424,1,45-54,master,retail,urban,medium,84700.0,2024-02-29
425,1,18-24,bachelor, fintech,urban,low,40700.0,2024-03-01
426,1,18-24,bachelor,education,urban,high,88800.0,2024-03-02
427,0,25-34,bachelor,tech ,urban,medium,40700.0,2024-03-03
428,1,25-34,high_school,retail,urban,low,58000.0,2024-03-04
429,0,18-24,master,education,suburban,low,40700.0,2024-03-05
